ZSJ|Egas|Ehc|Ebc|Eco|Ebr|Ewd|Eww|Efoil|ETOTAL
2000180|0|0|0|0|0|0|0|0|0
2000421|0|0|0|0|0|0|0|0|0
2000422|0|0|0|0|0|0|0|0|0
2000510|0|0|0|0|0|0|0|0|0
2000690|0|0|0|0|0|0|0|0|0
2000770|0|0|0|0|0|0|0|0|0
2000850|0|0|0|0|0|0|0|0|0
2000930|0|0|0|0|0|0|0|0|0
2001070|0|0|0|0|0|0|0|0|0
2001150|0|0|0|0|0|0|0|0|0
2001230|0|0|0|0|0|0|0|0|0
2001310|0|0|0|0|0|0|0|0|0
2001400|0|0|0|0|0|0|0|0|0
2001580|0|0|0|0|0|0|0|0|0
2001660|7.08884672094282|13.2462564949795|10.5027736862121|0|0.977892488653059|47.2261855851618|38.5073196573566|24.5880754349258|142.137350068232
2001740|0|0|0|0|0|0|0|0|0
2001820|0|0|0|0|0|0|0|0|0
2001910|0|8.78285243841671|6.96380230256363|0|0.648385861449316|31.3130445104218|25.5320517519564|0|73.2401368648079
2002040|0|0|0|0|0|0|0|0|0
2002120|3.0092023155412|8.04658662172056|2.49348854909652|0|2.65038470672681|71.3582945514676|58.1301482903534|9.31927903867933|155.007384073585
2002390|0|0|0|0|0|0|0|0|0
2002470|0|0|0|0|0|0|0|0|0
2002550|0|0|0|0|0|0|0|0|0
2002630|0|0|0|0|0|0|0|0|0
2002710|0|0|0|0|0|0|0|0|0
2002800|0|0|0|0|0|0|0|0|0
2002980|0|0|0|0|0|0|0|0|0
2003010|0|0|0|0|0|0|0|0|0
2003100|0|0|0|0|0|0|0|0|0
2003280|0|0|0|0|0|0|0|0|0
2003360|0|0.961314401674395|0.297893574672553|0|0.316637738252453|8.5250752220923|6.94472716818105|9.79757835881775|26.8432264636905
2003440|0|0|0|0|0|0|0|0|0
2003520|0|0|0|0|0|0|0|0|0
2003790|0|0|0|0|0|0|0|0|0
2003871|0|0|0|0|0|0|0|0|0
2003872|0|0|0|0|0|0|0|0|0
2003950|0|0|0|0|0|0|0|0|0
2004090|0|0|0|0|0|0|0|0|0
2004171|0|0|0|0|0|0|0|0|0
2004172|0|0|0|0|0|0|0|0|0
2004250|0|0|0|0|0|0|0|0|0
2004330|0|0|0|0|0|0|0|0|0
2004410|0|0|0|0|0|0|0|0|0
2004500|0|0|0|0|0|0|0|0|0
2004680|0|0|0|0|0|0|0|0|0
2004760|3.28287098261765|1.99508517839817|0.61824004148287|0|0.657141157366075|17.6927040630008|14.4128936559404|8.13344867561555|46.7923837544216
2004840|6.8005981959141|14.542102375953|16.8487387772126|0|1.39848238033941|84.3059770126397|69.4497505858326|0|193.345649327891
2004920|0|0|0|0|0|0|0|0|0
