ZSJ|Egas|Ehc|Ebc|Eco|Ebr|Ewd|Eww|Efoil|ETOTAL
2000180|0|0|0|0|0|0|0|0|0
2000421|0|0|0|0|0|0|0|0|0
2000422|0|0|0|0|0|0|0|0|0
2000510|0|0|0|0|0|0|0|0|0
2000690|0|0|0|0|0|0|0|0|0
2000770|0|0|0|0|0|0|0|0|0
2000850|0|0|0|0|0|0|0|0|0
2000930|0|0|0|0|0|0|0|0|0
2001070|0|0|0|0|0|0|0|0|0
2001150|0|0|0|0|0|0|0|0|0
2001230|0|0|0|0|0|0|0|0|0
2001310|0|0|0|0|0|0|0|0|0
2001400|0|0|0|0|0|0|0|0|0
2001580|0|0|0|0|0|0|0|0|0
2001660|0.109059180325626|192.139374757182|243.468437077375|0|15.8779299117563|297.095654435125|464.944341403839|26.18630033819|1239.82109710379
2001740|0|0|0|0|0|0|0|0|0
2001820|0|0|0|0|0|0|0|0|0
2001910|0|127.396882035431|161.430314826908|0|10.5277680147091|196.987525795496|308.278610200131|0|804.621100872676
2002040|0|0|0|0|0|0|0|0|0
2002120|0.0462954202405509|152.664448703646|69.1875973820879|0|13.901524653223|462.310067971977|723.297587631548|9.92503217619122|1431.33255393891
2002390|0|0|0|0|0|0|0|0|0
2002470|0|0|0|0|0|0|0|0|0
2002550|0|0|0|0|0|0|0|0|0
2002630|0|0|0|0|0|0|0|0|0
2002710|0|0|0|0|0|0|0|0|0
2002800|0|0|0|0|0|0|0|0|0
2002980|0|0|0|0|0|0|0|0|0
2003010|0|0|0|0|0|0|0|0|0
2003100|0|0|0|0|0|0|0|0|0
2003280|0|0|0|0|0|0|0|0|0
2003360|0|18.2386072581813|8.26574508017028|0|1.66079562460703|55.2315344721289|86.4113468696966|10.4344209521385|180.242450256923
2003440|0|0|0|0|0|0|0|0|0
2003520|0|0|0|0|0|0|0|0|0
2003790|0|0|0|0|0|0|0|0|0
2003871|0|0|0|0|0|0|0|0|0
2003872|0|0|0|0|0|0|0|0|0
2003950|0|0|0|0|0|0|0|0|0
2004090|0|0|0|0|0|0|0|0|0
2004171|0|0|0|0|0|0|0|0|0
2004172|0|0|0|0|0|0|0|0|0
2004250|0|0|0|0|0|0|0|0|0
2004330|0|0|0|0|0|0|0|0|0
2004410|0|0|0|0|0|0|0|0|0
2004500|0|0|0|0|0|0|0|0|0
2004680|0|0|0|0|0|0|0|0|0
2004760|0.0505057074264748|37.8518983508867|17.1544974975324|0|3.44676905831303|114.625990845037|179.33570649194|8.66212283952859|361.127490790665
2004840|0.104624587632737|214.886933724202|402.71732657531|0|1.48776985221824|519.405344057377|814.961966996265|0|1953.563965793
2004920|0|0|0|0|0|0|0|0|0
