ZSJ|Egas|Ehc|Ebc|Eco|Ebr|Ewd|Eww|Efoil|ETOTAL
2000180|0|0|0|0|0|0|0|0|0
2000421|0|0|0|0|0|0|0|0|0
2000422|0|0|0|0|0|0|0|0|0
2000510|0|0|0|0|0|0|0|0|0
2000690|0|0|0|0|0|0|0|0|0
2000770|0|0|0|0|0|0|0|0|0
2000850|0|0|0|0|0|0|0|0|0
2000930|0|0|0|0|0|0|0|0|0
2001070|0|0|0|0|0|0|0|0|0
2001150|0|0|0|0|0|0|0|0|0
2001230|0|0|0|0|0|0|0|0|0
2001310|0|0|0|0|0|0|0|0|0
2001400|0|0|0|0|0|0|0|0|0
2001580|0|0|0|0|0|0|0|0|0
2001660|0.109059180325626|189.183384376302|239.722768814645|0|15.6336540669591|289.277347739472|452.708963998446|26.18630033819|1212.82147851434
2001740|0|0|0|0|0|0|0|0|0
2001820|0|0|0|0|0|0|0|0|0
2001910|0|125.436930004117|158.946771521879|0|10.3658023529438|191.803643537726|300.166015194846|0|786.719162611512
2002040|0|0|0|0|0|0|0|0|0
2002120|0.0462954202405509|150.315764877437|68.1231728069785|0|13.6876550431735|450.144013551676|704.26344058857|9.92503217619122|1396.50537446427
2002390|0|0|0|0|0|0|0|0|0
2002470|0|0|0|0|0|0|0|0|0
2002550|0|0|0|0|0|0|0|0|0
2002630|0|0|0|0|0|0|0|0|0
2002710|0|0|0|0|0|0|0|0|0
2002800|0|0|0|0|0|0|0|0|0
2002980|0|0|0|0|0|0|0|0|0
2003010|0|0|0|0|0|0|0|0|0
2003100|0|0|0|0|0|0|0|0|0
2003280|0|0|0|0|0|0|0|0|0
2003360|0|17.9580133003632|8.13857977124455|0|1.63524492269|53.7780730386535|84.137364057331|10.4344209521385|176.081696042421
2003440|0|0|0|0|0|0|0|0|0
2003520|0|0|0|0|0|0|0|0|0
2003790|0|0|0|0|0|0|0|0|0
2003871|0|0|0|0|0|0|0|0|0
2003872|0|0|0|0|0|0|0|0|0
2003950|0|0|0|0|0|0|0|0|0
2004090|0|0|0|0|0|0|0|0|0
2004171|0|0|0|0|0|0|0|0|0
2004172|0|0|0|0|0|0|0|0|0
2004250|0|0|0|0|0|0|0|0|0
2004330|0|0|0|0|0|0|0|0|0
2004410|0|0|0|0|0|0|0|0|0
2004500|0|0|0|0|0|0|0|0|0
2004680|0|0|0|0|0|0|0|0|0
2004760|0.0505057074264748|37.269561453181|16.8905821514165|0|3.3937418420313|111.60951740175|174.616345794773|8.66212283952859|352.492377190107
2004840|0.104624587632737|211.580980897677|396.521675397229|0|1.4648810852616|505.736782371674|793.515599443685|0|1908.92454378316
2004920|0|0|0|0|0|0|0|0|0
