ZSJ|Egas|Ehc|Ebc|Eco|Ebr|Ewd|Eww|Efoil|ETOTAL
2000180|0|0|0|0|0|0|0|0|0
2000421|0|0|0|0|0|0|0|0|0
2000422|0|0|0|0|0|0|0|0|0
2000510|0|0|0|0|0|0|0|0|0
2000690|0|0|0|0|0|0|0|0|0
2000770|0|0|0|0|0|0|0|0|0
2000850|0|0|0|0|0|0|0|0|0
2000930|0|0|0|0|0|0|0|0|0
2001070|0|0|0|0|0|0|0|0|0
2001150|0|0|0|0|0|0|0|0|0
2001230|0|0|0|0|0|0|0|0|0
2001310|0|0|0|0|0|0|0|0|0
2001400|0|0|0|0|0|0|0|0|0
2001580|0|0|0|0|0|0|0|0|0
2001660|0.00218044418520123|31.1949049456144|86.2882893189593|0|4.74450762261538|0|0|24.5873869687973|146.817269300172
2001740|0|0|0|0|0|0|0|0|0
2001820|0|0|0|0|0|0|0|0|0
2001910|0|20.6835981978462|57.2129425803482|0|3.14581786621508|0|0|0|81.0423586444095
2002040|0|0|0|0|0|0|0|0|0
2002120|0.000925594521832631|21.1315623404331|21.3499440251275|0|9.4530549080111|0|0|9.31901809886005|61.2545049669535
2002390|0|0|0|0|0|0|0|0|0
2002470|0|0|0|0|0|0|0|0|0
2002550|0|0|0|0|0|0|0|0|0
2002630|0|0|0|0|0|0|0|0|0
2002710|0|0|0|0|0|0|0|0|0
2002800|0|0|0|0|0|0|0|0|0
2002980|0|0|0|0|0|0|0|0|0
2003010|0|0|0|0|0|0|0|0|0
2003100|0|0|0|0|0|0|0|0|0
2003280|0|0|0|0|0|0|0|0|0
2003360|0|2.52455807197847|2.55064782511578|0|1.1293431923494|0|0|9.79730402661719|16.0018531160608
2003440|0|0|0|0|0|0|0|0|0
2003520|0|0|0|0|0|0|0|0|0
2003790|0|0|0|0|0|0|0|0|0
2003871|0|0|0|0|0|0|0|0|0
2003872|0|0|0|0|0|0|0|0|0
2003950|0|0|0|0|0|0|0|0|0
2004090|0|0|0|0|0|0|0|0|0
2004171|0|0|0|0|0|0|0|0|0
2004172|0|0|0|0|0|0|0|0|0
2004250|0|0|0|0|0|0|0|0|0
2004330|0|0|0|0|0|0|0|0|0
2004410|0|0|0|0|0|0|0|0|0
2004500|0|0|0|0|0|0|0|0|0
2004680|0|0|0|0|0|0|0|0|0
2004760|0.00100977171980134|5.23939762333413|5.29354357152928|0|2.34380745826413|0|0|8.13322093904723|21.0109793638946
2004840|0.0020917823978847|33.6570314025695|143.484661676322|0|4.84863043883928|0|0|0|181.992415300128
2004920|0|0|0|0|0|0|0|0|0
2005060|0.00137574372222467|43.7384832315854|120.98510644733|0|6.65229041267093|0|0|53.5579140379526|224.935169873261
2005140|0|0|0|0|0|0|0|0|0
