ZSJ|Egas|Ehc|Ebc|Eco|Ebr|Ewd|Eww|Efoil|ETOTAL
2000180|0|0|0|0|0|0|0|0|0
2000421|0|0|0|0|0|0|0|0|0
2000422|0|0|0|0|0|0|0|0|0
2000510|0|0|0|0|0|0|0|0|0
2000690|0|0|0|0|0|0|0|0|0
2000770|0|0|0|0|0|0|0|0|0
2000850|0|0|0|0|0|0|0|0|0
2000930|0|0|0|0|0|0|0|0|0
2001070|0|0|0|0|0|0|0|0|0
2001150|0|0|0|0|0|0|0|0|0
2001230|0|0|0|0|0|0|0|0|0
2001310|0|0|0|0|0|0|0|0|0
2001400|0|0|0|0|0|0|0|0|0
2001580|0|0|0|0|0|0|0|0|0
2001660|0.000104007559089667|41.9817970506384|34.1510061161626|0|2.0291223836826|169.710349085741|120.296689020514|0.0416030236358668|368.210670687934
2001740|0|0|0|0|0|0|0|0|0
2001820|0|0|0|0|0|0|0|0|0
2001910|0|27.8357835464732|22.6436236875984|0|1.34539765873681|112.525448518771|79.7620119237249|0|244.112265335304
2002040|0|0|0|0|0|0|0|0|0
2002120|4.41510163736178e-05|33.4035051436238|9.62280627305521|0|1.97313116707985|264.888627277286|186.854306034462|0.0157682201334349|496.758188266656
2002390|0|0|0|0|0|0|0|0|0
2002470|0|0|0|0|0|0|0|0|0
2002550|0|0|0|0|0|0|0|0|0
2002630|0|0|0|0|0|0|0|0|0
2002710|0|0|0|0|0|0|0|0|0
2002800|0|0|0|0|0|0|0|0|0
2002980|0|0|0|0|0|0|0|0|0
2003010|0|0|0|0|0|0|0|0|0
2003100|0|0|0|0|0|0|0|0|0
2003280|0|0|0|0|0|0|0|0|0
2003360|0|3.99066984182966|1.14962314950295|0|0.235727209123224|31.6458722452636|22.3232214913253|0.0165775025831086|59.3616914396278
2003440|0|0|0|0|0|0|0|0|0
2003520|0|0|0|0|0|0|0|0|0
2003790|0|0|0|0|0|0|0|0|0
2003871|0|0|0|0|0|0|0|0|0
2003872|0|0|0|0|0|0|0|0|0
2003950|0|0|0|0|0|0|0|0|0
2004090|0|0|0|0|0|0|0|0|0
2004171|0|0|0|0|0|0|0|0|0
2004172|0|0|0|0|0|0|0|0|0
2004250|0|0|0|0|0|0|0|0|0
2004330|0|0|0|0|0|0|0|0|0
2004410|0|0|0|0|0|0|0|0|0
2004500|0|0|0|0|0|0|0|0|0
2004680|0|0|0|0|0|0|0|0|0
2004760|4.81662830569633e-05|8.28212522297322|2.38589591742496|0|0.489221695053939|65.6769632952945|46.3289931513243|0.0137617951591324|123.177009243513
2004840|9.97783767304457e-05|47.7187359267912|57.0776290724214|0|0.424722183828637|291.231719799504|205.080554902945|0|601.533461663867
2004920|0|0|0|0|0|0|0|0|0
